Genome,Length (bp),N50,Completeness %,Contamination%,Species representative,MGnify accession
GUT_GENOME001853,2005377,28599,99.85,0.0,GUT_GENOME001853,MGYG-HGUT-00279
GUT_GENOME001854,2599910,647524,96.09,0.72,GUT_GENOME001854,MGYG-HGUT-00280
GUT_GENOME001870,4359603,116923,99.5,1.9,GUT_GENOME001870,MGYG-HGUT-00281
GUT_GENOME001877,3383470,90263,95.48,0.0,GUT_GENOME001877,MGYG-HGUT-00282
GUT_GENOME002080,1530282,4374,74.24,0.2,GUT_GENOME002080,MGYG-HGUT-00283
GUT_GENOME002158,5935659,57910,98.62,0.13,GUT_GENOME002158,MGYG-HGUT-00284
GUT_GENOME002167,2408444,7547,76.41,3.1,GUT_GENOME002167,MGYG-HGUT-00285
GUT_GENOME002250,1017072,2969,62.57,0.0,GUT_GENOME002250,MGYG-HGUT-00286
GUT_GENOME002382,7249439,48317,99.37,0.32,GUT_GENOME002382,MGYG-HGUT-00287
GUT_GENOME002690,2089424,25584,98.39,0.81,GUT_GENOME002690,MGYG-HGUT-00288
GUT_GENOME002738,3001000,52350,98.47,0.0,GUT_GENOME002738,MGYG-HGUT-00289
GUT_GENOME002826,2102511,47350,100.0,0.81,GUT_GENOME002826,MGYG-HGUT-00290
GUT_GENOME003036,1703578,19126,98.39,0.4,GUT_GENOME003036,MGYG-HGUT-00291
GUT_GENOME003134,1801546,6645,89.18,0.76,GUT_GENOME003134,MGYG-HGUT-00292
GUT_GENOME003176,1677303,23628,56.9,0.0,GUT_GENOME003176,MGYG-HGUT-00293
GUT_GENOME003284,1781860,37238,98.65,1.5,GUT_GENOME003284,MGYG-HGUT-00294
GUT_GENOME003308,2812533,12066,92.56,0.69,GUT_GENOME003308,MGYG-HGUT-00295
GUT_GENOME003569,1868390,78878,100.0,0.0,GUT_GENOME003569,MGYG-HGUT-00296
GUT_GENOME003639,1541132,40209,93.82,0.0,GUT_GENOME003639,MGYG-HGUT-00297
GUT_GENOME003665,1627980,14058,87.62,1.84,GUT_GENOME003665,MGYG-HGUT-00298
GUT_GENOME003966,1835106,60865,97.95,0.47,GUT_GENOME003966,MGYG-HGUT-00299
GUT_GENOME004215,1294904,4221,76.79,3.84,GUT_GENOME004215,MGYG-HGUT-00300
GUT_GENOME004333,2679417,65227,96.52,0.21,GUT_GENOME004333,MGYG-HGUT-00301
GUT_GENOME004335,2151766,48557,100.0,0.81,GUT_GENOME004335,MGYG-HGUT-00302
GUT_GENOME004459,2213433,67638,99.53,0.59,GUT_GENOME004459,MGYG-HGUT-00303
GUT_GENOME004615,1613120,126164,100.0,0.23,GUT_GENOME004615,MGYG-HGUT-00304
GUT_GENOME004664,2446714,116951,97.04,0.54,GUT_GENOME004664,MGYG-HGUT-00305
GUT_GENOME004691,1807255,7355,86.02,1.73,GUT_GENOME004691,MGYG-HGUT-00306
GUT_GENOME004694,2184222,19030,94.67,0.67,GUT_GENOME004694,MGYG-HGUT-00307
GUT_GENOME004807,1974388,4696,80.86,2.56,GUT_GENOME004807,MGYG-HGUT-00308
GUT_GENOME004970,2008488,40765,99.19,0.81,GUT_GENOME004970,MGYG-HGUT-00309
GUT_GENOME004992,1785527,14022,94.63,2.1,GUT_GENOME004992,MGYG-HGUT-00310
GUT_GENOME005080,1913729,11546,90.1,1.2,GUT_GENOME005080,MGYG-HGUT-00311
GUT_GENOME005141,2782709,99238,98.56,0.19,GUT_GENOME005141,MGYG-HGUT-00312
GUT_GENOME005153,1450348,5411,60.14,0.0,GUT_GENOME005153,MGYG-HGUT-00313
GUT_GENOME005165,2037187,11750,93.01,1.04,GUT_GENOME005165,MGYG-HGUT-00314
GUT_GENOME005285,1984931,31457,90.6,0.85,GUT_GENOME005285,MGYG-HGUT-00315
GUT_GENOME005382,2303090,7004,86.47,0.89,GUT_GENOME005382,MGYG-HGUT-00316
GUT_GENOME005404,2151510,152364,98.98,0.23,GUT_GENOME005404,MGYG-HGUT-00317
GUT_GENOME005405,1498040,46857,89.18,0.28,GUT_GENOME005405,MGYG-HGUT-00318
GUT_GENOME005466,2608342,12476,92.75,0.67,GUT_GENOME005466,MGYG-HGUT-00319
GUT_GENOME005475,2132138,58889,100.0,0.81,GUT_GENOME005475,MGYG-HGUT-00320
GUT_GENOME005565,1964511,9456,94.76,1.08,GUT_GENOME005565,MGYG-HGUT-00321
GUT_GENOME005654,3470887,35657,96.29,0.27,GUT_GENOME005654,MGYG-HGUT-00322
GUT_GENOME005683,3361404,393520,99.25,0.38,GUT_GENOME005683,MGYG-HGUT-00323
GUT_GENOME005862,1991867,8934,94.44,1.73,GUT_GENOME005862,MGYG-HGUT-00324
GUT_GENOME005886,3194566,95993,97.52,2.03,GUT_GENOME005886,MGYG-HGUT-00325
GUT_GENOME006135,2307278,14735,95.31,1.32,GUT_GENOME006135,MGYG-HGUT-00326
GUT_GENOME006201,1681373,5119,82.08,0.36,GUT_GENOME006201,MGYG-HGUT-00327
GUT_GENOME006268,1880403,3416,63.8,0.86,GUT_GENOME006268,MGYG-HGUT-00328
GUT_GENOME006298,1481172,3998,69.54,0.68,GUT_GENOME006298,MGYG-HGUT-00329
GUT_GENOME006314,2487416,171440,98.94,0.0,GUT_GENOME006314,MGYG-HGUT-00330
GUT_GENOME006415,2076395,30067,99.19,0.81,GUT_GENOME006415,MGYG-HGUT-00331
GUT_GENOME006546,1262091,135597,92.13,0.0,GUT_GENOME006546,MGYG-HGUT-00332
GUT_GENOME006618,2036327,11027,96.77,2.82,GUT_GENOME006618,MGYG-HGUT-00333
GUT_GENOME006694,2196649,5293,84.72,2.19,GUT_GENOME006694,MGYG-HGUT-00334
GUT_GENOME006956,1887038,6597,90.08,0.77,GUT_GENOME006956,MGYG-HGUT-00335
GUT_GENOME006971,1244397,3693,63.52,1.18,GUT_GENOME006971,MGYG-HGUT-00336
GUT_GENOME007005,3835549,12606,95.92,1.09,GUT_GENOME007005,MGYG-HGUT-00337
GUT_GENOME007050,3410865,14371,97.5,0.0,GUT_GENOME007050,MGYG-HGUT-00338
GUT_GENOME007057,1808008,5607,76.03,2.01,GUT_GENOME007057,MGYG-HGUT-00339
GUT_GENOME007158,1833064,3359,60.49,1.34,GUT_GENOME007158,MGYG-HGUT-00340
GUT_GENOME007188,1611059,10764,86.53,1.61,GUT_GENOME007188,MGYG-HGUT-00341
GUT_GENOME007437,990972,3954,62.04,1.63,GUT_GENOME007437,MGYG-HGUT-00342
GUT_GENOME007443,3841231,118530,97.99,0.0,GUT_GENOME007443,MGYG-HGUT-00343
GUT_GENOME007446,2550499,235702,96.77,0.0,GUT_GENOME007446,MGYG-HGUT-00344
GUT_GENOME007470,3773289,164422,93.21,2.03,GUT_GENOME007470,MGYG-HGUT-00345
GUT_GENOME007499,2294646,4559,58.53,0.0,GUT_GENOME007499,MGYG-HGUT-00346
GUT_GENOME007500,1763421,70398,96.0,0.0,GUT_GENOME007500,MGYG-HGUT-00347
GUT_GENOME007505,2655711,58552,95.91,0.94,GUT_GENOME007505,MGYG-HGUT-00348
GUT_GENOME007513,1402736,152905,95.16,0.16,GUT_GENOME007513,MGYG-HGUT-00349
GUT_GENOME007518,1589625,4375,71.95,1.34,GUT_GENOME007518,MGYG-HGUT-00350
GUT_GENOME007523,1843595,101588,96.15,0.0,GUT_GENOME007523,MGYG-HGUT-00351
GUT_GENOME007529,1338316,16112,56.59,0.67,GUT_GENOME007529,MGYG-HGUT-00352
GUT_GENOME007566,2738445,113097,98.05,0.19,GUT_GENOME007566,MGYG-HGUT-00353
GUT_GENOME007568,2905675,72793,96.48,0.57,GUT_GENOME007568,MGYG-HGUT-00354
GUT_GENOME007573,2806154,41604,91.67,0.77,GUT_GENOME007573,MGYG-HGUT-00355
GUT_GENOME007598,2991584,119496,96.62,1.34,GUT_GENOME007598,MGYG-HGUT-00356
GUT_GENOME007607,2815297,59223,96.04,0.75,GUT_GENOME007607,MGYG-HGUT-00357
GUT_GENOME007621,1561461,14987,96.63,0.0,GUT_GENOME007621,MGYG-HGUT-00358
GUT_GENOME007693,2647452,71916,94.7,1.27,GUT_GENOME007693,MGYG-HGUT-00359
GUT_GENOME007711,4492877,523497,94.57,1.35,GUT_GENOME007711,MGYG-HGUT-00360
GUT_GENOME007714,1916694,4549,74.26,2.01,GUT_GENOME007714,MGYG-HGUT-00361
GUT_GENOME007797,2638970,93205,97.99,0.0,GUT_GENOME007797,MGYG-HGUT-00362
GUT_GENOME007807,2012818,215638,88.89,0.85,GUT_GENOME007807,MGYG-HGUT-00363
GUT_GENOME007858,3039243,167372,98.66,0.0,GUT_GENOME007858,MGYG-HGUT-00364
GUT_GENOME007879,1394461,150203,75.55,0.67,GUT_GENOME007879,MGYG-HGUT-00365
GUT_GENOME007882,2815847,72035,96.42,0.0,GUT_GENOME007882,MGYG-HGUT-00366
GUT_GENOME007932,1764233,32642,97.87,0.0,GUT_GENOME007932,MGYG-HGUT-00367
GUT_GENOME007936,1707423,21424,88.59,0.17,GUT_GENOME007936,MGYG-HGUT-00368
GUT_GENOME007974,1959873,55932,88.76,0.06,GUT_GENOME007974,MGYG-HGUT-00369
GUT_GENOME007990,2729121,129557,94.63,1.01,GUT_GENOME007990,MGYG-HGUT-00370
GUT_GENOME008042,2427904,98714,93.96,0.0,GUT_GENOME008042,MGYG-HGUT-00371
GUT_GENOME008063,1318863,66428,81.56,0.0,GUT_GENOME008063,MGYG-HGUT-00372
GUT_GENOME008080,2809464,13367,94.99,2.04,GUT_GENOME008080,MGYG-HGUT-00373
GUT_GENOME008083,1601144,25709,98.88,0.0,GUT_GENOME008083,MGYG-HGUT-00374
GUT_GENOME008110,1473545,91794,77.54,1.42,GUT_GENOME008110,MGYG-HGUT-00375
GUT_GENOME008120,685078,25052,60.59,0.85,GUT_GENOME008120,MGYG-HGUT-00376
GUT_GENOME008139,2320618,39475,86.06,0.83,GUT_GENOME008139,MGYG-HGUT-00377
GUT_GENOME008152,2604862,40799,97.26,0.95,GUT_GENOME008152,MGYG-HGUT-00378
GUT_GENOME008172,2070552,252415,97.99,0.0,GUT_GENOME008172,MGYG-HGUT-00379
GUT_GENOME008216,1622044,5084,76.47,3.62,GUT_GENOME008216,MGYG-HGUT-00380
GUT_GENOME008321,953676,136569,80.9,2.25,GUT_GENOME008321,MGYG-HGUT-00381
GUT_GENOME008332,1513268,83963,74.1,0.45,GUT_GENOME008332,MGYG-HGUT-00382
GUT_GENOME008340,1702468,151172,93.06,0.67,GUT_GENOME008340,MGYG-HGUT-00383
GUT_GENOME008342,1439005,81353,72.11,0.92,GUT_GENOME008342,MGYG-HGUT-00384
GUT_GENOME008347,1909808,192291,88.89,0.85,GUT_GENOME008347,MGYG-HGUT-00385
GUT_GENOME008453,2252934,10848,89.73,0.84,GUT_GENOME008453,MGYG-HGUT-00386
GUT_GENOME008455,2488147,54047,87.64,0.53,GUT_GENOME008455,MGYG-HGUT-00387
GUT_GENOME008483,2362060,7068,83.02,3.43,GUT_GENOME008483,MGYG-HGUT-00388
GUT_GENOME008492,2762523,130947,96.94,0.63,GUT_GENOME008492,MGYG-HGUT-00389
GUT_GENOME008627,2232010,8072,83.68,2.19,GUT_GENOME008627,MGYG-HGUT-00390
GUT_GENOME008647,1644097,288028,93.55,1.61,GUT_GENOME008647,MGYG-HGUT-00391
GUT_GENOME008653,2042501,209728,97.32,0.0,GUT_GENOME008653,MGYG-HGUT-00392
GUT_GENOME008718,2242585,7634,85.95,0.98,GUT_GENOME008718,MGYG-HGUT-00393
GUT_GENOME008742,1906398,80183,92.47,0.0,GUT_GENOME008742,MGYG-HGUT-00394
GUT_GENOME008785,2097770,244359,97.99,0.0,GUT_GENOME008785,MGYG-HGUT-00395
GUT_GENOME008832,2040467,38475,99.19,0.81,GUT_GENOME008832,MGYG-HGUT-00396
GUT_GENOME008910,1182481,3646,68.75,0.56,GUT_GENOME008910,MGYG-HGUT-00397
GUT_GENOME008975,2936252,165814,94.63,0.0,GUT_GENOME008975,MGYG-HGUT-00398
GUT_GENOME009001,1208519,66110,56.05,0.81,GUT_GENOME009001,MGYG-HGUT-00399
GUT_GENOME009103,2908659,55633,98.68,0.38,GUT_GENOME009103,MGYG-HGUT-00400
GUT_GENOME009122,788854,4864,78.61,0.56,GUT_GENOME009122,MGYG-HGUT-00401
GUT_GENOME009144,1550033,102987,54.31,0.0,GUT_GENOME009144,MGYG-HGUT-00402
GUT_GENOME009159,2138464,3716,67.3,0.67,GUT_GENOME009159,MGYG-HGUT-00403
GUT_GENOME009178,2228546,103459,97.5,0.07,GUT_GENOME009178,MGYG-HGUT-00404
GUT_GENOME009209,2251507,238738,88.81,0.67,GUT_GENOME009209,MGYG-HGUT-00405
GUT_GENOME009210,1936952,133837,89.82,0.0,GUT_GENOME009210,MGYG-HGUT-00406
GUT_GENOME009216,980671,509291,92.02,0.0,GUT_GENOME009216,MGYG-HGUT-00407
GUT_GENOME009245,1810289,206132,92.31,0.85,GUT_GENOME009245,MGYG-HGUT-00408
GUT_GENOME009249,2691378,185805,95.97,0.0,GUT_GENOME009249,MGYG-HGUT-00409
GUT_GENOME009256,1882952,235483,89.74,1.14,GUT_GENOME009256,MGYG-HGUT-00410
GUT_GENOME009334,1335301,134409,51.9,0.0,GUT_GENOME009334,MGYG-HGUT-00411
GUT_GENOME009343,2387553,141122,99.38,0.29,GUT_GENOME009343,MGYG-HGUT-00412
GUT_GENOME009437,2856126,15113,88.55,2.55,GUT_GENOME009437,MGYG-HGUT-00413
GUT_GENOME009480,2648727,148398,99.04,0.96,GUT_GENOME009480,MGYG-HGUT-00414
GUT_GENOME009523,2630685,239913,99.43,0.0,GUT_GENOME009523,MGYG-HGUT-00415
GUT_GENOME009542,1978468,93139,90.04,0.69,GUT_GENOME009542,MGYG-HGUT-00416
GUT_GENOME009549,2910146,71403,93.49,1.34,GUT_GENOME009549,MGYG-HGUT-00417
GUT_GENOME009558,2050770,231627,99.46,0.0,GUT_GENOME009558,MGYG-HGUT-00418
GUT_GENOME009565,1104451,584939,94.94,1.12,GUT_GENOME009565,MGYG-HGUT-00419
GUT_GENOME009602,2126341,21189,96.73,1.57,GUT_GENOME009602,MGYG-HGUT-00420
GUT_GENOME009639,1698944,68941,72.08,4.19,GUT_GENOME009639,MGYG-HGUT-00421
GUT_GENOME009640,1769950,70902,87.41,0.85,GUT_GENOME009640,MGYG-HGUT-00422
GUT_GENOME009661,1728758,208200,79.69,1.68,GUT_GENOME009661,MGYG-HGUT-00423
GUT_GENOME009669,2854163,90109,97.99,0.0,GUT_GENOME009669,MGYG-HGUT-00424
GUT_GENOME009689,1738291,32047,93.29,0.34,GUT_GENOME009689,MGYG-HGUT-00425
GUT_GENOME009692,1083370,48636,74.72,2.25,GUT_GENOME009692,MGYG-HGUT-00426
GUT_GENOME009698,2168872,117305,100.0,0.0,GUT_GENOME009698,MGYG-HGUT-00427
GUT_GENOME009723,1789472,23737,86.8,0.0,GUT_GENOME009723,MGYG-HGUT-00428
GUT_GENOME009737,1972857,184721,94.35,0.0,GUT_GENOME009737,MGYG-HGUT-00429
GUT_GENOME009750,1166774,178571,90.45,1.12,GUT_GENOME009750,MGYG-HGUT-00430
GUT_GENOME009762,1700744,259234,98.5,0.0,GUT_GENOME009762,MGYG-HGUT-00431
GUT_GENOME009769,1590144,52890,73.54,1.23,GUT_GENOME009769,MGYG-HGUT-00432
GUT_GENOME009824,1914532,38113,98.67,2.67,GUT_GENOME009824,MGYG-HGUT-00433
GUT_GENOME009873,1031211,167537,94.94,1.28,GUT_GENOME009873,MGYG-HGUT-00434
GUT_GENOME009878,1948428,240603,100.0,0.0,GUT_GENOME009878,MGYG-HGUT-00435
GUT_GENOME009953,2103098,258024,89.74,0.85,GUT_GENOME009953,MGYG-HGUT-00436
GUT_GENOME010023,3341375,30199,65.52,0.0,GUT_GENOME010023,MGYG-HGUT-00437
GUT_GENOME010056,1976904,139618,89.74,0.85,GUT_GENOME010056,MGYG-HGUT-00438
GUT_GENOME010067,2030774,7239,74.34,3.12,GUT_GENOME010067,MGYG-HGUT-00439
GUT_GENOME010079,2422037,159239,94.41,0.69,GUT_GENOME010079,MGYG-HGUT-00440
GUT_GENOME010315,2454454,142604,95.27,0.68,GUT_GENOME010315,MGYG-HGUT-00441
GUT_GENOME010337,3125088,89338,96.7,0.0,GUT_GENOME010337,MGYG-HGUT-00442
GUT_GENOME010373,1708212,14460,92.3,1.01,GUT_GENOME010373,MGYG-HGUT-00443
GUT_GENOME010448,2535942,35841,94.76,0.83,GUT_GENOME010448,MGYG-HGUT-00444
GUT_GENOME010556,1525621,22094,94.04,0.06,GUT_GENOME010556,MGYG-HGUT-00445
GUT_GENOME010560,1423737,51551,93.26,0.16,GUT_GENOME010560,MGYG-HGUT-00446
GUT_GENOME010630,1931770,151217,89.74,0.85,GUT_GENOME010630,MGYG-HGUT-00447
GUT_GENOME010648,2372251,13690,84.74,0.88,GUT_GENOME010648,MGYG-HGUT-00448
GUT_GENOME010707,1523903,35745,76.78,1.34,GUT_GENOME010707,MGYG-HGUT-00449
GUT_GENOME010791,2671977,37303,89.93,0.0,GUT_GENOME010791,MGYG-HGUT-00450
GUT_GENOME010812,1842661,64824,98.53,0.0,GUT_GENOME010812,MGYG-HGUT-00451
GUT_GENOME010933,2678398,33707,94.83,0.0,GUT_GENOME010933,MGYG-HGUT-00452
GUT_GENOME010945,1755797,251121,97.32,0.0,GUT_GENOME010945,MGYG-HGUT-00453
GUT_GENOME011006,1064846,3199,54.1,0.67,GUT_GENOME011006,MGYG-HGUT-00454
GUT_GENOME011015,1994916,5244,83.3,1.4,GUT_GENOME011015,MGYG-HGUT-00455
GUT_GENOME011023,2140419,5140,76.11,2.53,GUT_GENOME011023,MGYG-HGUT-00456
GUT_GENOME011049,1876873,96992,94.63,0.0,GUT_GENOME011049,MGYG-HGUT-00457
GUT_GENOME011051,1496553,87771,94.35,0.0,GUT_GENOME011051,MGYG-HGUT-00458
GUT_GENOME011056,1088338,296384,77.69,0.0,GUT_GENOME011056,MGYG-HGUT-00459
GUT_GENOME011129,1595400,101927,86.17,0.0,GUT_GENOME011129,MGYG-HGUT-00460
GUT_GENOME011136,905840,8618,69.7,0.0,GUT_GENOME011136,MGYG-HGUT-00461
GUT_GENOME011144,1821707,36594,95.42,1.36,GUT_GENOME011144,MGYG-HGUT-00462
GUT_GENOME011146,1724452,178745,92.17,0.0,GUT_GENOME011146,MGYG-HGUT-00463
GUT_GENOME011202,1534068,214296,88.03,0.85,GUT_GENOME011202,MGYG-HGUT-00464
GUT_GENOME011204,930329,84203,79.21,2.25,GUT_GENOME011204,MGYG-HGUT-00465
GUT_GENOME011208,1837167,27754,88.37,0.67,GUT_GENOME011208,MGYG-HGUT-00466
GUT_GENOME011213,2445290,65279,92.99,3.04,GUT_GENOME011213,MGYG-HGUT-00467
GUT_GENOME011266,2935049,31971,93.19,0.67,GUT_GENOME011266,MGYG-HGUT-00468
GUT_GENOME011267,1307310,77461,93.26,1.12,GUT_GENOME011267,MGYG-HGUT-00469
GUT_GENOME011366,2694868,16214,100.0,0.0,GUT_GENOME011366,MGYG-HGUT-00470
GUT_GENOME011451,1588654,65593,97.27,0.0,GUT_GENOME011451,MGYG-HGUT-00471
GUT_GENOME011495,1121511,806256,81.52,1.61,GUT_GENOME011495,MGYG-HGUT-00472
GUT_GENOME011512,1843328,19002,88.51,1.61,GUT_GENOME011512,MGYG-HGUT-00473
GUT_GENOME011515,1911183,6794,82.25,3.46,GUT_GENOME011515,MGYG-HGUT-00474
GUT_GENOME011719,1625826,61915,97.4,0.62,GUT_GENOME011719,MGYG-HGUT-00475
GUT_GENOME011747,2809926,120257,94.41,0.67,GUT_GENOME011747,MGYG-HGUT-00476
GUT_GENOME011776,1717685,48814,81.8,3.05,GUT_GENOME011776,MGYG-HGUT-00477
GUT_GENOME011797,1684203,98987,96.63,0.0,GUT_GENOME011797,MGYG-HGUT-00478
GUT_GENOME011995,2347794,189058,99.3,0.0,GUT_GENOME011995,MGYG-HGUT-00479
GUT_GENOME012053,1940095,46128,93.92,0.34,GUT_GENOME012053,MGYG-HGUT-00480
GUT_GENOME012071,2443498,14331,96.13,3.29,GUT_GENOME012071,MGYG-HGUT-00481
GUT_GENOME012577,1135888,859601,75.33,0.22,GUT_GENOME012577,MGYG-HGUT-00482
GUT_GENOME012637,1951388,42138,91.94,0.0,GUT_GENOME012637,MGYG-HGUT-00483
GUT_GENOME012681,2428908,179014,100.0,0.0,GUT_GENOME012681,MGYG-HGUT-00484
GUT_GENOME012683,1980530,58186,86.69,1.28,GUT_GENOME012683,MGYG-HGUT-00485
GUT_GENOME012905,2258701,112229,99.4,1.2,GUT_GENOME012905,MGYG-HGUT-00486
GUT_GENOME013034,2815466,85653,97.32,0.67,GUT_GENOME013034,MGYG-HGUT-00487
GUT_GENOME013046,1945837,50264,98.67,1.33,GUT_GENOME013046,MGYG-HGUT-00488
GUT_GENOME013049,2786257,102898,98.71,1.13,GUT_GENOME013049,MGYG-HGUT-00489
GUT_GENOME013055,2369759,24011,93.18,0.69,GUT_GENOME013055,MGYG-HGUT-00490
GUT_GENOME013062,2014387,268115,89.74,0.85,GUT_GENOME013062,MGYG-HGUT-00491
GUT_GENOME013099,1465212,135351,95.7,0.0,GUT_GENOME013099,MGYG-HGUT-00492
GUT_GENOME013112,1815977,128859,89.74,0.0,GUT_GENOME013112,MGYG-HGUT-00493
GUT_GENOME013138,1504589,33882,76.33,1.57,GUT_GENOME013138,MGYG-HGUT-00494
GUT_GENOME013168,2149207,54538,95.97,0.67,GUT_GENOME013168,MGYG-HGUT-00495
GUT_GENOME013235,1275836,284063,91.57,0.56,GUT_GENOME013235,MGYG-HGUT-00496
GUT_GENOME013238,1155652,2567,60.77,1.72,GUT_GENOME013238,MGYG-HGUT-00497
GUT_GENOME013280,1329771,33665,92.7,1.69,GUT_GENOME013280,MGYG-HGUT-00498
GUT_GENOME013431,2647539,21139,90.69,0.81,GUT_GENOME013431,MGYG-HGUT-00499
GUT_GENOME013499,2379768,19067,95.65,0.84,GUT_GENOME013499,MGYG-HGUT-00500
GUT_GENOME013505,2730672,154699,98.66,0.0,GUT_GENOME013505,MGYG-HGUT-00501
GUT_GENOME013560,2577668,56429,99.2,0.0,GUT_GENOME013560,MGYG-HGUT-00502
GUT_GENOME013685,1878889,224627,88.89,0.0,GUT_GENOME013685,MGYG-HGUT-00503
GUT_GENOME013721,2519783,125476,94.59,1.35,GUT_GENOME013721,MGYG-HGUT-00504
GUT_GENOME013723,1142930,9408,70.43,0.34,GUT_GENOME013723,MGYG-HGUT-00505
GUT_GENOME013773,1552629,149542,95.7,0.0,GUT_GENOME013773,MGYG-HGUT-00506
GUT_GENOME013810,1876051,104170,77.74,0.05,GUT_GENOME013810,MGYG-HGUT-00507
GUT_GENOME013942,2012746,232346,88.81,0.0,GUT_GENOME013942,MGYG-HGUT-00508
GUT_GENOME013957,1316319,111674,96.56,0.0,GUT_GENOME013957,MGYG-HGUT-00509
GUT_GENOME013963,2415256,32127,97.32,0.0,GUT_GENOME013963,MGYG-HGUT-00510
GUT_GENOME013993,1940210,114376,88.89,0.85,GUT_GENOME013993,MGYG-HGUT-00511
GUT_GENOME014039,1575087,21047,53.9,0.0,GUT_GENOME014039,MGYG-HGUT-00512
GUT_GENOME014048,1869856,58909,98.42,0.35,GUT_GENOME014048,MGYG-HGUT-00513
GUT_GENOME014081,3147233,37037,94.63,0.06,GUT_GENOME014081,MGYG-HGUT-00514
GUT_GENOME014138,2818145,145978,98.43,0.97,GUT_GENOME014138,MGYG-HGUT-00515
GUT_GENOME014141,1853543,6395,77.7,2.47,GUT_GENOME014141,MGYG-HGUT-00516
GUT_GENOME014162,2612851,134634,96.64,0.0,GUT_GENOME014162,MGYG-HGUT-00517
GUT_GENOME014183,1605062,22791,91.95,0.0,GUT_GENOME014183,MGYG-HGUT-00518
GUT_GENOME014203,1498992,403537,96.63,0.0,GUT_GENOME014203,MGYG-HGUT-00519
GUT_GENOME014237,1867000,34497,87.68,0.34,GUT_GENOME014237,MGYG-HGUT-00520
GUT_GENOME014238,1223776,89165,76.56,0.02,GUT_GENOME014238,MGYG-HGUT-00521
GUT_GENOME014311,1691878,17954,99.2,0.0,GUT_GENOME014311,MGYG-HGUT-00522
GUT_GENOME014372,1958836,356338,88.03,1.71,GUT_GENOME014372,MGYG-HGUT-00523
GUT_GENOME014402,2043068,102176,88.71,0.0,GUT_GENOME014402,MGYG-HGUT-00524
GUT_GENOME014491,1915990,38942,99.38,0.62,GUT_GENOME014491,MGYG-HGUT-00525
GUT_GENOME014555,3510035,182536,97.78,0.19,GUT_GENOME014555,MGYG-HGUT-00526
GUT_GENOME014627,1011217,269824,80.51,0.4,GUT_GENOME014627,MGYG-HGUT-00527
GUT_GENOME014643,1493661,71090,96.77,0.0,GUT_GENOME014643,MGYG-HGUT-00528
GUT_GENOME014720,1939857,189458,88.89,0.0,GUT_GENOME014720,MGYG-HGUT-00529
GUT_GENOME014725,1956406,41953,97.18,0.72,GUT_GENOME014725,MGYG-HGUT-00530
GUT_GENOME014765,2151211,33087,99.19,1.88,GUT_GENOME014765,MGYG-HGUT-00531
GUT_GENOME014819,2771736,92604,97.1,1.06,GUT_GENOME014819,MGYG-HGUT-00532
GUT_GENOME014854,2190020,106783,97.59,0.6,GUT_GENOME014854,MGYG-HGUT-00533
GUT_GENOME014888,3142227,53493,96.86,0.05,GUT_GENOME014888,MGYG-HGUT-00534
GUT_GENOME014919,2249918,28087,99.19,0.0,GUT_GENOME014919,MGYG-HGUT-00535
GUT_GENOME014975,2326188,9502,98.88,0.0,GUT_GENOME014975,MGYG-HGUT-00536
GUT_GENOME014977,2340074,36186,96.64,0.17,GUT_GENOME014977,MGYG-HGUT-00537
GUT_GENOME015047,3384359,210139,93.89,1.35,GUT_GENOME015047,MGYG-HGUT-00538
GUT_GENOME015136,2303957,38662,96.84,0.0,GUT_GENOME015136,MGYG-HGUT-00539
GUT_GENOME015181,1286390,42282,93.82,0.0,GUT_GENOME015181,MGYG-HGUT-00540
GUT_GENOME015188,2312271,6714,82.69,0.0,GUT_GENOME015188,MGYG-HGUT-00541
GUT_GENOME015301,1922508,112867,89.74,0.0,GUT_GENOME015301,MGYG-HGUT-00542
GUT_GENOME015416,2969366,79411,97.41,1.2,GUT_GENOME015416,MGYG-HGUT-00543
GUT_GENOME015477,1985493,13510,88.03,0.09,GUT_GENOME015477,MGYG-HGUT-00544
GUT_GENOME015556,2021811,43544,50.97,0.0,GUT_GENOME015556,MGYG-HGUT-00545
GUT_GENOME015599,3035642,19360,91.7,1.79,GUT_GENOME015599,MGYG-HGUT-00546
GUT_GENOME015763,1632403,2917,73.06,1.42,GUT_GENOME015763,MGYG-HGUT-00547
GUT_GENOME015816,2283169,24227,97.93,0.75,GUT_GENOME015816,MGYG-HGUT-00548
GUT_GENOME015836,1845545,163957,88.89,0.85,GUT_GENOME015836,MGYG-HGUT-00549
GUT_GENOME016248,2679456,19795,90.81,0.0,GUT_GENOME016248,MGYG-HGUT-00550
GUT_GENOME016337,2226054,45865,84.5,1.58,GUT_GENOME016337,MGYG-HGUT-00551
GUT_GENOME016358,1311729,5064,82.59,1.25,GUT_GENOME016358,MGYG-HGUT-00552
GUT_GENOME016361,2921999,78049,98.31,2.53,GUT_GENOME016361,MGYG-HGUT-00553
GUT_GENOME016469,1538481,7244,95.54,0.68,GUT_GENOME016469,MGYG-HGUT-00554
GUT_GENOME016509,2866181,5714,61.43,0.0,GUT_GENOME016509,MGYG-HGUT-00555
GUT_GENOME016556,1959616,10272,95.13,1.61,GUT_GENOME016556,MGYG-HGUT-00556
GUT_GENOME016626,2365525,179446,99.38,0.62,GUT_GENOME016626,MGYG-HGUT-00557
